Patient,Brightness,Accuracy,IOU_0,IOU_1,IOU_2,IOU_3,IOU_4,IOU_5,IOU_6,IOU_mean,Model
ACRIN 6698_932998,Brightness level 1,0.06,0,0.11,0,0,0.01,0,0,0.02,Base
ACRIN 6698_932998,Brightness level 2,0.06,0,0.11,0,0,0.01,0,0,0.02,Base
Duke_068,Brightness level 1,0.08,0,0.11,0,0,0.04,0,0,0.02,Base
Duke_068,Brightness level 2,0.08,0,0.11,0,0,0.04,0,0,0.02,Base
Duke_094,Brightness level 1,0.07,0,0.12,0,0,0.03,0,0,0.02,Base
Duke_094,Brightness level 2,0.07,0,0.12,0,0,0.03,0,0,0.02,Base
Duke_102,Brightness level 1,0.05,0,0.13,0,0,0.02,0,0,0.02,Base
Duke_102,Brightness level 2,0.05,0,0.12,0,0,0.02,0,0,0.02,Base
Duke_104,Brightness level 1,0.05,0,0.12,0,0,0.01,0,0,0.02,Base
Duke_104,Brightness level 2,0.05,0,0.12,0,0,0.01,0,0,0.02,Base
Duke_112,Brightness level 1,0.06,0,0.11,0,0,0.03,0,0,0.02,Base
Duke_112,Brightness level 2,0.06,0,0.11,0,0,0.03,0,0,0.02,Base
Duke_189,Brightness level 1,0.08,0,0.11,0,0,0.05,0,0,0.02,Base
Duke_189,Brightness level 2,0.08,0,0.11,0,0,0.05,0,0,0.02,Base
Duke_191,Brightness level 1,0.05,0,0.12,0,0,0.01,0,0,0.02,Base
Duke_191,Brightness level 2,0.05,0,0.12,0,0,0.01,0,0,0.02,Base
Duke_196,Brightness level 1,0,0,0,0,0,0,0,0,0,Base
Duke_196,Brightness level 2,0,0,0,0,0,0,0,0,0,Base
Duke_201,Brightness level 1,0.05,0,0.11,0.01,0,0.01,0,0,0.02,Base
Duke_201,Brightness level 2,0.05,0,0.11,0.01,0,0.01,0,0,0.02,Base
Duke_257,Brightness level 1,0,0,0,0,0,0,0,0,0,Base
Duke_257,Brightness level 2,0,0,0,0,0,0,0,0,0,Base
Duke_281,Brightness level 1,0.07,0,0.1,0.01,0,0.04,0,0,0.02,Base
Duke_281,Brightness level 2,0.07,0,0.1,0.01,0,0.04,0,0,0.02,Base
Duke_319,Brightness level 1,0.04,0,0.09,0,0,0,0,0,0.01,Base
Duke_337,Brightness level 1,0,0,0.01,0,0,0,0,0,0,Base
Duke_337,Brightness level 2,0,0,0.01,0,0,0,0,0,0,Base
Estee_Duke_033,Brightness level 1,0.05,0,0.12,0,0,0.01,0,0,0.02,Base
Estee_Duke_033,Brightness level 2,0.05,0,0.12,0,0,0.01,0,0,0.02,Base
Nicole_Duke_047,Brightness level 1,0.05,0,0.15,0,0,0.01,0,0,0.02,Base
Nicole_Duke_047,Brightness level 2,0.05,0,0.15,0,0,0.01,0,0,0.02,Base
000133_2022-09-09,Brightness level 1,0.75,0.6,0.74,0,0.02,0,0,0,0.19,Tuned
000133_2022-09-09,Brightness level 2,0.75,0.6,0.74,0,0.02,0,0,0,0.19,Tuned
000165_2022-08-19,Brightness level 1,0.8,0.88,0.67,0,0.04,0,0,0,0.23,Tuned
000165_2022-08-19,Brightness level 2,0.8,0.88,0.67,0,0.04,0,0,0,0.23,Tuned
ACRIN 6698_253531,Brightness level 1,0.93,0.93,0.87,0,0.11,0,0,0,0.27,Tuned
ACRIN 6698_253531,Brightness level 2,0.94,0.94,0.87,0,0.11,0,0,0,0.27,Tuned
ACRIN 6698_283070,Brightness level 1,0.97,0.95,0.93,0,0,0,0,0,0.27,Tuned
ACRIN 6698_378885,Brightness level 1,0.88,0.82,0.81,0,0.03,0,0,0,0.24,Tuned
ACRIN 6698_378885,Brightness level 2,0.88,0.82,0.81,0,0.03,0,0,0,0.24,Tuned
ACRIN 6698_649198,Brightness level 1,0.85,0.88,0.69,0,0.03,0,0,0,0.23,Tuned
ACRIN 6698_649198,Brightness level 2,0.85,0.88,0.69,0,0.03,0,0,0,0.23,Tuned
Duke_068,Brightness level 1,0.87,0.96,0.75,0,0.06,0,0,0,0.25,Tuned
Duke_068,Brightness level 2,0.87,0.96,0.75,0,0.06,0,0,0,0.25,Tuned
Duke_084,Brightness level 1,0.94,0.94,0.9,0,0.08,0,0,0,0.27,Tuned
Duke_084,Brightness level 2,0.94,0.94,0.9,0,0.08,0,0,0,0.27,Tuned
Duke_104,Brightness level 1,0.89,0.97,0.77,0,0.06,0,0,0,0.26,Tuned
Duke_104,Brightness level 2,0.89,0.97,0.77,0,0.06,0,0,0,0.26,Tuned
Duke_106,Brightness level 1,0.82,0.91,0.61,0,0.02,0,0,0,0.22,Tuned
Duke_106,Brightness level 2,0.82,0.91,0.61,0,0.02,0,0,0,0.22,Tuned
Duke_109,Brightness level 1,0.53,0.59,0.02,0,0.02,0,0,0,0.09,Tuned
Duke_109,Brightness level 2,0.53,0.59,0.02,0,0.02,0,0,0,0.09,Tuned
Duke_172,Brightness level 1,0.86,0.95,0.71,0,0.07,0,0,0,0.25,Tuned
Duke_172,Brightness level 2,0.86,0.95,0.71,0,0.07,0,0,0,0.25,Tuned
Duke_314,Brightness level 1,0.91,0.98,0.81,0,0.09,0,0,0,0.27,Tuned
Duke_314,Brightness level 2,0.91,0.98,0.81,0,0.09,0,0,0,0.27,Tuned
Duke_328,Brightness level 1,0.87,0.94,0.78,0,0.07,0,0,0,0.25,Tuned
Duke_328,Brightness level 2,0.87,0.94,0.78,0,0.07,0,0,0,0.25,Tuned
Rachel_Duke_052,Brightness level 1,0.92,0.97,0.83,0,0.05,0,0,0,0.26,Tuned
Rachel_Duke_052,Brightness level 2,0.92,0.97,0.83,0,0.05,0,0,0,0.26,Tuned
Rachel_Duke_054,Brightness level 1,0.9,0.95,0.78,0,0.05,0,0,0,0.25,Tuned
Rachel_Duke_054,Brightness level 2,0.9,0.95,0.78,0,0.05,0,0,0,0.25,Tuned
000133_2022-09-09,Brightness level 1,0.99,1,0.99,0.37,0.92,0.06,0,0,0.48,UNet
000133_2022-09-09,Brightness level 2,0.99,1,0.99,0.37,0.91,0.06,0,0,0.48,UNet
000165_2022-08-19,Brightness level 1,0.71,0.73,0.66,0.04,0.02,0.01,0,0,0.21,UNet
000165_2022-08-19,Brightness level 2,0.72,0.73,0.67,0.04,0.03,0.01,0,0,0.21,UNet
ACRIN 6698_283070,Brightness level 1,0.99,1,1,0.77,0.88,0.51,0,0,0.59,UNet
ACRIN 6698_283070,Brightness level 2,0.99,1,1,0.78,0.88,0.54,0,0,0.6,UNet
ACRIN 6698_378885,Brightness level 1,0.99,1,1,0.57,0.5,0.52,0,0,0.51,UNet
ACRIN 6698_378885,Brightness level 2,0.99,1,1,0.58,0.5,0.52,0,0,0.51,UNet
Duke_062,Brightness level 1,0.99,1,1,0.66,0.82,0.52,0,0,0.57,UNet
Duke_062,Brightness level 2,0.99,1,1,0.68,0.82,0.54,0,0,0.58,UNet
Duke_079,Brightness level 1,1,1,1,0.78,0.9,0.42,0,0,0.59,UNet
Duke_079,Brightness level 2,1,1,1,0.78,0.9,0.44,0,0,0.59,UNet
Duke_081,Brightness level 1,0.99,1,1,0.82,0.82,0.52,0,0,0.59,UNet
Duke_081,Brightness level 2,0.99,1,1,0.83,0.82,0.53,0,0,0.6,UNet
Duke_106,Brightness level 1,0.99,1,1,0.63,0.64,0.43,0,0,0.53,UNet
